Name,Price,Rating,Img
"Lenovo Ideapad 3 Laptop - 10th Generation Intel Core i5-1035G1, 12GB RAM, 256GB PCIe NVMe M.2 SSD, 15.6 Inch HD 220nits Anti-glare 10-point Multi-touch Display, Windows 10 - Platinum Grey","12,499 EGP",No Rate,https://m.media-amazon.com/images/I/61DrCbSkM4L._AC_UL320_.jpg
"Dell G3 15-3500 Gaming laptop - Intel 10th Gen Core i5-10300H, 8GB, 1TB and 256GB SSD, Nvidia Geforce GTX 1650 4GB GDDR6 Graphics, 15.6 inch FHD IPS, Backlit Keyboard - Black","14,400 EGP",No Rate,https://m.media-amazon.com/images/I/612lqPHkroS._AC_UL320_.jpg
"HP 255 G7 Laptop - Ryzen 5 3500U, 8 GB RAM, 1 TB HDD, Radeon RX Vega 8 Graphics, 15.6-Inch HD, DOS - Sliver","7,999 EGP",5.0 out of 5 stars,https://m.media-amazon.com/images/I/71bCvQo69XS._AC_UL320_.jpg
"Laptop 15s-eq1013ne Laptop - AMD Ryzen 5 4500U 6-cores, 8GB RAM, 512GB SSD, AMD Radeon Graphics, 15.6 Inch HD micro-edge anti-glare 220 nits, Dos - Indigo Blue","9,630 EGP",5.0 out of 5 stars,https://m.media-amazon.com/images/I/715e-1FtXBS._AC_UL320_.jpg
"Dell Vostro 3500 laptop - 11th Gen Intel core i5-1135G7, 8GB RAM, 1TB HDD, Nvidia GeForce MX330 GDDR5 Graphics, 15.6 Inch HD, Ubuntu - Black","10,870 EGP",No Rate,https://m.media-amazon.com/images/I/91Km4w9pUEL._AC_UL320_.jpg
"HP 15s-du2100TU Laptop - Intel 10th Gen Core i3-1005G1, 4GB RAM , 1TB HDD, Intel UHD Graphics, 15.6-Inch HD, Windows 10 - Jet Black","7,299 EGP",No Rate,https://m.media-amazon.com/images/I/51JZiCYZ+9S._AC_UL320_.jpg
"Dell Vostro 3500 laptop - 11th Intel core i7-1165G7, 8GB RAM, 1TB HDD, Nvidia GeForce MX330 GDDR5 Graphics, 15.6 Inch FHD, Ubuntu - Black","12,370 EGP",4.0 out of 5 stars,https://m.media-amazon.com/images/I/91zKmiPmArS._AC_UL320_.jpg
"Dell VOSTRO 3501 Laptop - Intel 10th Gen Core i3-1005G1, 4 GBRAM , 1TB HDD , Intel UHD Graphics, 15.6-Inch , Ubuntu","7,110 EGP",5.0 out of 5 stars,https://m.media-amazon.com/images/I/81LMVJmYivS._AC_UL320_.jpg
"HP ProBook 450 G7 Laptop - Intel Core i7-10510U, 1TB HDD, 8GB RAM, Nvidia MX250 DDR5 Graphics, 15.6 Inch, DOS – Silver ( Carry Case Inside)","13,740 EGP",No Rate,https://m.media-amazon.com/images/I/61WRhR2d4eL._AC_UL320_.jpg
"Lenovo V145 Laptop - AMD A6-9225, 15.6 Inch HD, 4GB RAM, Integrated AMD Radeon R4 Graphics, 1TB - Black, DOS","6,800 EGP",No Rate,https://m.media-amazon.com/images/I/41aFBGddlDS._AC_UL320_.jpg
"Lenovo IdeaPad S145 Laptop - AMD 3020e, 4GB RAM, 1TB HDD, Integrated AMD Radeon Graphics, 15.6 Inch HD, Dos - Platinum Grey","5,555 EGP",No Rate,https://m.media-amazon.com/images/I/51C0AoJC61S._AC_UL320_.jpg
"HP 245 G7 Laptop - Ryzen 3 3300U, 4 GB RAM, 256 GB PCIe NVMe M.2 SSD, Radeon RX Vega 6 graphics, 14-Inch HD, DOS - Black","6,222 EGP",No Rate,https://m.media-amazon.com/images/I/517yEDMGP5S._AC_UL320_.jpg
"SARY TWIST2 2 In 1 Laptop, Intel Celeron , 11.6 inch, 64 GB, 4GB RAM, Windows 10","3,777 EGP",No Rate,https://m.media-amazon.com/images/I/41cgW2eZ0PS._AC_UL320_.jpg
"Huawei Matebook D14 Laptop, 14 Inch, 512 GB SSD, 8 GB RAM, Intel Core i5-10210U, NVIDIA GeForce MX250 2GB GDDR5, Windows - Space Grey","12,700 EGP",No Rate,https://m.media-amazon.com/images/I/61OphoWyfpL._AC_UL320_.jpg
"Lenovo Yoga C740-14IML 2-in-1 laptop - 10th Intel Core i5-10210U, 8GB RAM , 256 GB SSD, Integrated Intel UHD Graphics, 14 Inch FHD IPS 300nits Multi-touch, Backlit keyboard, Windows 10 - Aluminum Mica","14,799 EGP",No Rate,https://m.media-amazon.com/images/I/51INRMXgxvS._AC_UL320_.jpg
"Dell Inspiron 13-7300 2-in-1 Laptop - Intel 10th Gen Core i5-10210U13.3 inch FHD Convertible Touch Display, Fingerprint reader, Backlit English Keyboard, Windows 10 - Platinum Silver","15,788 EGP",3.0 out of 5 stars,https://m.media-amazon.com/images/I/61n6+L6NxyS._AC_UL320_.jpg
"DELL Inspiron 15-5593 laptop - Intel 10th Gen Core i7-1067G7, 16GB RAM, 1TB HDD Plus 512GB SSD, 4GB Nvidia Geforce MX230, 15.6-inch FHD, Windows 10 - Silver","19,745 EGP",No Rate,https://m.media-amazon.com/images/I/418oKVuBKUS._AC_UL320_.jpg
"Lenovo ideapad L3 laptop, intel 10th Gen core i7-10510U, 8 GB RAM, 1 TB HDD, NVIDIA GeForce MX330 2GB GDDR5 Graphic card, 15.6 inch FHD, Dos, Platinum Grey","11,888 EGP",No Rate,https://m.media-amazon.com/images/I/61c1sjubtVS._AC_UL320_.jpg
"Lenovo IdeaPad Gaming 3 laptop - Ryzen 5 4600H 6-Core, 16 GB RAM , 1TB HDD + 128 GB SSD, NVIDIA GeForce GTX 1650 4GB GDDR6 Graphics, 15.6"" FHD IPS 120 Hz, Dos - Chameleon Blue (Gaming RGB Mouse)","15,499 EGP",5.0 out of 5 stars,https://m.media-amazon.com/images/I/51OkXaq9ZUL._AC_UL320_.jpg
"Lenovo ThinkBook 15 Laptop - intel 10th Gen core i7-10510U, 8 GB RAM, 1 TB HDD, AMD Radeon 620 2GB GDDR5 Graphic card, 15.6 inch FHD, Dos, Mineral Grey","12,999 EGP",No Rate,https://m.media-amazon.com/images/I/51Ehs13fo0L._AC_UL320_.jpg
"Lenovo IdeaPad L340 Laptop - Ryzen 3 3200U, 4GB RAM, 1TB HDD, Integrated AMD Radeon Vega 3 Graphics, 15.6 Inch HD 220nits Anti-glare, Dos - Dark Orchid","6,333 EGP",No Rate,https://m.media-amazon.com/images/I/41f3p+i6CuS._AC_UL320_.jpg
"HP 14-dh1021ne Pavilion Laptop, 14 Inch FHD, Intel Core i7-10510U, 1 TB and 256 GB SSD, 16 GB RAM, NVIDIA GeForce GTX MX250 2GB GDDR5, Windows 10 - Gold","23,333 EGP",No Rate,https://m.media-amazon.com/images/I/41P9aRGjhQS._AC_UL320_.jpg
"HP 250 G7 Laptop, 10th Generation Intel Core i5-1035G1, 8 GB RAM, 1TB HDD, Intel UHD Graphics, 15.6 Inch HD anti-glare 220 nits, Dos - Dark ash Silver","10,499 EGP",No Rate,https://m.media-amazon.com/images/I/71AXTukkXBS._AC_UL320_.jpg
"Lenovo ThinkBook 15 G2 Laptop - 11th Intel Core i5-1135G7, 8GB RAM, 1TB HDD, Intel Iris Xe Graphics, 15.6 Inch FHD (1920x1080) 220nits Anti-glare, Fingerprint Reader - Mineral Grey","10,899 EGP",No Rate,https://m.media-amazon.com/images/I/515dIEJqetS._AC_UL320_.jpg
"Lenovo Ideapad 3 Laptop - 10th Generation Intel Core i5-1035G1, 12GB RAM, 256GB PCIe NVMe M.2 SSD, 15.6 Inch HD 220nits Anti-glare 10-point Multi-touch Display, Windows 10 - Platinum Grey","12,499 EGP",No Rate,https://m.media-amazon.com/images/I/61DrCbSkM4L._AC_UL320_.jpg
"Dell G3 15-3500 Gaming laptop - Intel 10th Gen Core i5-10300H, 8GB, 1TB and 256GB SSD, Nvidia Geforce GTX 1650 4GB GDDR6 Graphics, 15.6 inch FHD IPS, Backlit Keyboard - Black","14,400 EGP",No Rate,https://m.media-amazon.com/images/I/612lqPHkroS._AC_UL320_.jpg
"HP 255 G7 Laptop - Ryzen 5 3500U, 8 GB RAM, 1 TB HDD, Radeon RX Vega 8 Graphics, 15.6-Inch HD, DOS - Sliver","7,999 EGP",5.0 out of 5 stars,https://m.media-amazon.com/images/I/71bCvQo69XS._AC_UL320_.jpg
"Laptop 15s-eq1013ne Laptop - AMD Ryzen 5 4500U 6-cores, 8GB RAM, 512GB SSD, AMD Radeon Graphics, 15.6 Inch HD micro-edge anti-glare 220 nits, Dos - Indigo Blue","9,630 EGP",5.0 out of 5 stars,https://m.media-amazon.com/images/I/715e-1FtXBS._AC_UL320_.jpg
"Dell Vostro 3500 laptop - 11th Gen Intel core i5-1135G7, 8GB RAM, 1TB HDD, Nvidia GeForce MX330 GDDR5 Graphics, 15.6 Inch HD, Ubuntu - Black","10,870 EGP",No Rate,https://m.media-amazon.com/images/I/91Km4w9pUEL._AC_UL320_.jpg
"HP 15s-du2100TU Laptop - Intel 10th Gen Core i3-1005G1, 4GB RAM , 1TB HDD, Intel UHD Graphics, 15.6-Inch HD, Windows 10 - Jet Black","7,299 EGP",No Rate,https://m.media-amazon.com/images/I/51JZiCYZ+9S._AC_UL320_.jpg
"Dell Vostro 3500 laptop - 11th Intel core i7-1165G7, 8GB RAM, 1TB HDD, Nvidia GeForce MX330 GDDR5 Graphics, 15.6 Inch FHD, Ubuntu - Black","12,370 EGP",4.0 out of 5 stars,https://m.media-amazon.com/images/I/91zKmiPmArS._AC_UL320_.jpg
"Dell VOSTRO 3501 Laptop - Intel 10th Gen Core i3-1005G1, 4 GBRAM , 1TB HDD , Intel UHD Graphics, 15.6-Inch , Ubuntu","7,110 EGP",5.0 out of 5 stars,https://m.media-amazon.com/images/I/81LMVJmYivS._AC_UL320_.jpg
"HP ProBook 450 G7 Laptop - Intel Core i7-10510U, 1TB HDD, 8GB RAM, Nvidia MX250 DDR5 Graphics, 15.6 Inch, DOS – Silver ( Carry Case Inside)","13,740 EGP",No Rate,https://m.media-amazon.com/images/I/61WRhR2d4eL._AC_UL320_.jpg
"Lenovo V145 Laptop - AMD A6-9225, 15.6 Inch HD, 4GB RAM, Integrated AMD Radeon R4 Graphics, 1TB - Black, DOS","6,800 EGP",No Rate,https://m.media-amazon.com/images/I/41aFBGddlDS._AC_UL320_.jpg
"Lenovo IdeaPad S145 Laptop - AMD 3020e, 4GB RAM, 1TB HDD, Integrated AMD Radeon Graphics, 15.6 Inch HD, Dos - Platinum Grey","5,555 EGP",No Rate,https://m.media-amazon.com/images/I/51C0AoJC61S._AC_UL320_.jpg
"HP 245 G7 Laptop - Ryzen 3 3300U, 4 GB RAM, 256 GB PCIe NVMe M.2 SSD, Radeon RX Vega 6 graphics, 14-Inch HD, DOS - Black","6,222 EGP",No Rate,https://m.media-amazon.com/images/I/517yEDMGP5S._AC_UL320_.jpg
"SARY TWIST2 2 In 1 Laptop, Intel Celeron , 11.6 inch, 64 GB, 4GB RAM, Windows 10","3,777 EGP",No Rate,https://m.media-amazon.com/images/I/41cgW2eZ0PS._AC_UL320_.jpg
"Huawei Matebook D14 Laptop, 14 Inch, 512 GB SSD, 8 GB RAM, Intel Core i5-10210U, NVIDIA GeForce MX250 2GB GDDR5, Windows - Space Grey","12,700 EGP",No Rate,https://m.media-amazon.com/images/I/61OphoWyfpL._AC_UL320_.jpg
"Lenovo Yoga C740-14IML 2-in-1 laptop - 10th Intel Core i5-10210U, 8GB RAM , 256 GB SSD, Integrated Intel UHD Graphics, 14 Inch FHD IPS 300nits Multi-touch, Backlit keyboard, Windows 10 - Aluminum Mica","14,799 EGP",No Rate,https://m.media-amazon.com/images/I/51INRMXgxvS._AC_UL320_.jpg
"Dell Inspiron 13-7300 2-in-1 Laptop - Intel 10th Gen Core i5-10210U13.3 inch FHD Convertible Touch Display, Fingerprint reader, Backlit English Keyboard, Windows 10 - Platinum Silver","15,788 EGP",3.0 out of 5 stars,https://m.media-amazon.com/images/I/61n6+L6NxyS._AC_UL320_.jpg
"DELL Inspiron 15-5593 laptop - Intel 10th Gen Core i7-1067G7, 16GB RAM, 1TB HDD Plus 512GB SSD, 4GB Nvidia Geforce MX230, 15.6-inch FHD, Windows 10 - Silver","19,745 EGP",No Rate,https://m.media-amazon.com/images/I/418oKVuBKUS._AC_UL320_.jpg
"Lenovo ideapad L3 laptop, intel 10th Gen core i7-10510U, 8 GB RAM, 1 TB HDD, NVIDIA GeForce MX330 2GB GDDR5 Graphic card, 15.6 inch FHD, Dos, Platinum Grey","11,888 EGP",No Rate,https://m.media-amazon.com/images/I/61c1sjubtVS._AC_UL320_.jpg
"Lenovo IdeaPad Gaming 3 laptop - Ryzen 5 4600H 6-Core, 16 GB RAM , 1TB HDD + 128 GB SSD, NVIDIA GeForce GTX 1650 4GB GDDR6 Graphics, 15.6"" FHD IPS 120 Hz, Dos - Chameleon Blue (Gaming RGB Mouse)","15,499 EGP",5.0 out of 5 stars,https://m.media-amazon.com/images/I/51OkXaq9ZUL._AC_UL320_.jpg
"Lenovo ThinkBook 15 Laptop - intel 10th Gen core i7-10510U, 8 GB RAM, 1 TB HDD, AMD Radeon 620 2GB GDDR5 Graphic card, 15.6 inch FHD, Dos, Mineral Grey","12,999 EGP",No Rate,https://m.media-amazon.com/images/I/51Ehs13fo0L._AC_UL320_.jpg
"Lenovo IdeaPad L340 Laptop - Ryzen 3 3200U, 4GB RAM, 1TB HDD, Integrated AMD Radeon Vega 3 Graphics, 15.6 Inch HD 220nits Anti-glare, Dos - Dark Orchid","6,333 EGP",No Rate,https://m.media-amazon.com/images/I/41f3p+i6CuS._AC_UL320_.jpg
"HP 14-dh1021ne Pavilion Laptop, 14 Inch FHD, Intel Core i7-10510U, 1 TB and 256 GB SSD, 16 GB RAM, NVIDIA GeForce GTX MX250 2GB GDDR5, Windows 10 - Gold","23,333 EGP",No Rate,https://m.media-amazon.com/images/I/41P9aRGjhQS._AC_UL320_.jpg
"HP 250 G7 Laptop, 10th Generation Intel Core i5-1035G1, 8 GB RAM, 1TB HDD, Intel UHD Graphics, 15.6 Inch HD anti-glare 220 nits, Dos - Dark ash Silver","10,499 EGP",No Rate,https://m.media-amazon.com/images/I/71AXTukkXBS._AC_UL320_.jpg
"Lenovo ThinkBook 15 G2 Laptop - 11th Intel Core i5-1135G7, 8GB RAM, 1TB HDD, Intel Iris Xe Graphics, 15.6 Inch FHD (1920x1080) 220nits Anti-glare, Fingerprint Reader - Mineral Grey","10,899 EGP",No Rate,https://m.media-amazon.com/images/I/515dIEJqetS._AC_UL320_.jpg
"Lenovo IdeaPad L340 Laptop - AMD Ryzen 5 3500U, 4GB RAM, 1TB HDD, 15.6 inch HD, Integrated AMD Radeon Vega 8 Graphics, DOS - Black","7,555 EGP",No Rate,https://m.media-amazon.com/images/I/412mabbxLbS._AC_UL320_.jpg
"Lenovo, Legion 7, 15IMHG05, Gaming Laptop, Intel Core i7-10870H, 32GB RAM, 1TB SSD, RTX 2070 8G GPU, 15.6 FHD 144Hz, DOS - Slate Grey - 2 Years Warranty + Free Gaming Headset","42,444 EGP",No Rate,https://m.media-amazon.com/images/I/41vj317CcDL._AC_UL320_.jpg
"Lenovo 81W80083ED ideapad S145-15IIL Laptop - Intel Core i3-1005G1, 15.6 Inch HD, 1TB HDD, 4 GB RAM, Integrated Intel UHD Graphics, Dos - Granite Black","6,799 EGP",No Rate,https://m.media-amazon.com/images/I/41y30ForTiS._AC_UL320_.jpg
"Dell Inspiron 5406 2-in-1 Laptop - 11th Generation Intel Core i3-1115G4, 8GB RAM, 512GB SSD, Intel UHD Graphics, 14.0"" HD Touchscreen X360, Backlit Keyboard, Fingerprint Reader, Windows 10 - Dark Grey","11,999 EGP",No Rate,https://m.media-amazon.com/images/I/61efab2JWSL._AC_UL320_.jpg
"HP 250 G7 Laptop - 10th Intel Core i5 1035G1, 8GB RAM , 1TB HDD, Nvidia MX-110 2GB-DDR5 Graphics, 15.6 Inch HD, Windows 10, Dark Ash Silver","10,499 EGP",No Rate,https://m.media-amazon.com/images/I/41qy631whuS._AC_UL320_.jpg
"Lenovo Ideapad L340-15IRH Gaming Laptop - Intel Core i7-9750H, 15.6 Inch FHD, 1TB SSD, 16 GB RAM, NVIDIA GeForce GTX 1650 4GB, DOS - Granite Black",No Price,No Rate,https://m.media-amazon.com/images/I/310fyYKutQS._AC_UL320_.jpg
"Lenovo IdeaPad 3 Laptop - 10th Intel Core i3-1005G1, 4GB RAM , 1TB HDD, Integrated Intel UHD Graphics, 15.6 Inch HD 220nits Anti-glare, Dos - Abyss Blue","6,699 EGP",No Rate,https://m.media-amazon.com/images/I/51diu6-gE6S._AC_UL320_.jpg
"HP OMEN 15-dh1040nia Gaming laptop - 10th Intel Core i7-10750H, 16 GB RAM, 1TB HDD+256GB SSD, NVIDIA GeForce GTX1660 6 GB GDDR6 Graphics, 15.6"" FHD IPS 144Hz, backlit keyboard, Dos - Shadow black","22,999 EGP",No Rate,https://m.media-amazon.com/images/I/61wtTDRmojS._AC_UL320_.jpg
"Dell Inspiron 15-3593 Laptop - 10th Generation Intel Core i3-1005G1, 8GB RAM, 1TB HDD and 128GB PCIe NVMe M.2 SSD, Intel UHD Graphics, 15.6 Inch HD Anti -Glare LED, Windows 10 - Black","9,777 EGP",No Rate,https://m.media-amazon.com/images/I/612s9Spi2uS._AC_UL320_.jpg
"Dell Latitude D620 14.1-Inch Laptop (Intel Core Duo T2400 1.83GHz, 2GB, 80GB, DVD, Windows XP), Silver","3,500 EGP",No Rate,https://m.media-amazon.com/images/I/91bdzJKVkjL._AC_UL320_.jpg
"MSI GF63 Thin Gaming Laptop,15.6 FHD IPS Screen, Intel Core i7-9750H 6 Core, NVIDIA GTX1650 Ti Max-Q 4GB GDDR6, 8GB RAM, 512GB SSD, Win 10 Home, Backlit English KB","15,499 EGP",No Rate,https://m.media-amazon.com/images/I/41xBVFhppvS._AC_UL320_.jpg
"Dell Latitude 5500 Laptop - Intel Core i7-8665U, 8 GB RAM, 1 TB HDD, 15.6 Inch FHD, Radeon 540X 2GB dedicated Graphics, Windows 10 Pro - Black","14,999 EGP",No Rate,https://m.media-amazon.com/images/I/61cwvVHyAhL._AC_UL320_.jpg
"Lenovo 81MX004QED ideapad S145-15IGM Laptop - 15.6 Inch HD Screen, Intel Celeron N4000, 1TB HDD, 4 GB RAM, Integrated Intel UHD Graphics 600, Dos - Granite Black","5,555 EGP",No Rate,https://m.media-amazon.com/images/I/41M9Zn+ND-S._AC_UL320_.jpg
"Apple MacBook Pro Late 2019 Model, MVVK2 with Touch Bar and Touch ID Laptop, 9th Gen-Intel Core i9, 2.3 Ghz","54,766 EGP",5.0 out of 5 stars,https://m.media-amazon.com/images/I/71L2iBSyyOL._AC_UL320_.jpg
"Dell Inspiron 5406 2-in-1 Laptop - 11th Generation Intel Core i3-1115G4, 8GB RAM, 256GB SSD, Intel UHD Graphics, 14.0"" HD Touchscreen X360, Backlit Keyboard, Fingerprint Reader, Windows 10 - Dark Grey","10,788 EGP",No Rate,https://m.media-amazon.com/images/I/81csDna2cDL._AC_UL320_.jpg
"HP 15-dy1091wm Laptop - Intel 10th Gen Core i3-1005G1, 8GB RAM , 256 GB PCIe NVMe M.2 SSD , Intel UHD Graphics, 15.6 Inch HD, Windows 10 - Natural silver","8,999 EGP",No Rate,https://m.media-amazon.com/images/I/71zJz3MBhpS._AC_UL320_.jpg
"Asus ZenBook Flip 14 UX463FL-AI014T Laptop, 14 Inch FHD, Intel Core i7-10510U, 1 TB SSD, 16 GB RAM, 2GB NVIDIA GeForce MX250, Windows - Gun Grey",No Price,No Rate,https://m.media-amazon.com/images/I/31fQ74alLbS._AC_UL320_.jpg
"Dell Inspiron G3 3500 Gaming Laptop - Intel Core i5-10300H, 15.6 inches, 512 SSD, 8 GB RAM, NVIDIA GeForce GTX 1650 4GB - Black","14,500 EGP",5.0 out of 5 stars,https://m.media-amazon.com/images/I/61Rz55P1fCS._AC_UL320_.jpg
"Dell Inspiron 15-3501 Laptop - Intel 10th Gen Core i3-1005G1, 4 GBRAM, 1TB HDD, Intel UHD Graphics, 15.6-Inch, Ubuntu","7,190 EGP",No Rate,https://m.media-amazon.com/images/I/61lqaktRqVS._AC_UL320_.jpg
"Asus TUF Gaming A15 FX506LI-HN138T Gaming Laptop, 15.6 Inch FHD, Intel Core i7-10870H, 1.512 TB SSD, 16 GB RAM, 4GB NVIDIA GeForce GTX 1650Ti, Windows - Grey Metal","22,777 EGP",No Rate,https://m.media-amazon.com/images/I/71jGs1i8SlS._AC_UL320_.jpg
"Lenovo ThinkBook 14 G2 Laptops - 11th Intel Core i7-1165G7, 8GB RAM, 1TB HDD, Intel Iris Xe Graphics, 14 Inch FHD (1920x1080) TN 220nits Anti-glare, Fingerprint Reader, Dos - Mineral Grey","12,999 EGP",No Rate,https://m.media-amazon.com/images/I/51D-BswdwKS._AC_UL320_.jpg
"Dell G5 15-5500 Gaming laptop - Intel 10th Gen Core i7-10750H, 16GB, 512GB SSD, Nvidia Geforce GTX 1650 TI 4GB GDDR6 Graphics, 15.6 inch FHD IPS, Backlit Keyboard, Ubuntu - Black","21,950 EGP",1.0 out of 5 stars,https://m.media-amazon.com/images/I/71s1AJLUquS._AC_UL320_.jpg
"Lenovo IdeaPad 3 Laptop - 10th Generation Intel Core i5-1035G1, 8GB RAM, 1TB HDD, Intel UHD Graphics, 14 Inch FHD (1920x1080) 220nits Anti-glare, Fingerprint Reader, Dos - Abyss Blue","10,499 EGP",No Rate,https://m.media-amazon.com/images/I/41wPmHK1y2S._AC_UL320_.jpg
"HP Pavilion 15-ec1010nia Gaming Laptop - Ryzen 7 4800H 8-Cores, 16 GB RAM , 1TB HDD + 256GB SSD, NVIDIA GeForce GTX 1650 Ti 4 GB GDDR6 Graphics , 15.6"" FHD, Backlit Keyboard, Dos - Shadow black","17,899 EGP",No Rate,https://m.media-amazon.com/images/I/71DBBqrA8mL._AC_UL320_.jpg
"Lenovo 81LK00ACED ideapad L340-15IRH Gaming Laptop - 15.6 Inch FHD, Intel Core i7-9750H, 1TB SSD, 16 GB RAM, NVIDIA GeForce GTX 1650 4GB GDDR5, DOS - Granite Black","17,500 EGP",No Rate,https://m.media-amazon.com/images/I/31KRrVZfcpS._AC_UL320_.jpg
"Dell Latitude 3400 Laptop - Intel Core i5-8265U, 8 GB RAM, 1 TB & 128 GB SSD,14 Inch HD, Integrated Intel UHD Graphics - Black","16,461 EGP",No Rate,https://m.media-amazon.com/images/I/61lOcK5BgzL._AC_UL320_.jpg
"HP Envy 15t Laptop - Intel Core i7-6500U, 15.6 Inch Touch, 1TB, 16GB, 4GB GTX 950M, Win 10, Silver","14,000 EGP",No Rate,https://m.media-amazon.com/images/I/71IeSibh9KL._AC_UL320_.jpg
