Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
Lake Mungo,2008,6.3,"20,647","Drama, Horror, Mystery",87 ,Film,R,-,Moderate,Moderate,None,Mild,Severe
Alpha,2018,6.7,"59,238","Action, Adventure, Drama",96 ,Film,PG-13,-,None,Mild,None,None,Moderate
The Kindergarten Teacher,2018,6.7,"14,388","Drama, Thriller",96 ,Film,R,-,Moderate,None,Mild,Mild,None
Tenki no ko,2019,7.5,"31,527","Animation, Drama, Fantasy",112 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
Dalkomhan insaeng,2005,7.5,"38,677","Action, Crime, Drama",119 ,Film,Not Rated,-,None,Severe,Severe,Mild,Moderate
Four Rooms,1995,6.8,"101,583",Comedy,98 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Moderate
Tate no Yuusha no Nariagari,1995,8.1,"9,023","Animation, Action, Adventure",24 ,Series,TV-14,26,Mild,Moderate,Mild,Mild,Moderate
Ma Rainey's Black Bottom,2020,6.9,"47,046","Drama, Music",94 ,Film,R,-,Mild,Mild,Moderate,Mild,Mild
My Struggle,2021,8.7,74,Biography,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
The Whole Truth,2016,6.2,"27,223","Crime, Drama, Mystery",93 ,Film,R,-,Mild,Mild,Mild,Mild,Mild
Mallrats,1995,7.1,"119,801","Comedy, Romance",94 ,Film,R,-,Moderate,Mild,Severe,Moderate,None
The Bureau of Magical Things,1995,6.8,"1,608","Family, Fantasy, Mystery",25 ,Series,TV-G,40,None,None,None,None,None
Mommy,2014,8.1,"54,020",Drama,139 ,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
The Assistant,2019,6.3,"19,964",Drama,87 ,Film,R,-,None,None,Mild,Mild,Mild
The Personal History of David Copperfield,2019,6.4,"17,770","Comedy, Drama",119 ,Film,PG,-,None,Mild,None,Mild,Mild
The Family Man,2000,6.8,"106,632","Comedy, Drama, Fantasy",125 ,Film,PG-13,-,Mild,None,Mild,Mild,None
Elle,2016,7.1,"64,036","Crime, Drama, Thriller",130 ,Film,R,-,Severe,Severe,Moderate,Mild,Severe
Daddy Day Care,2003,5.6,"66,308","Comedy, Family",92 ,Film,PG,-,None,Mild,Mild,None,None
Alvin and the Chipmunks: The Road Chip,2015,5.0,"18,357","Animation, Adventure, Comedy",92 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
The Red Sea Diving Resort,2019,6.6,"26,953","Drama, History, Thriller",129 ,Film,TV-MA,-,Mild,Moderate,Moderate,Mild,Severe
How High,2001,6.3,"56,036","Comedy, Fantasy",93 ,Film,R,-,Moderate,Mild,Severe,Severe,None
Chugyeokja,2008,7.8,"62,423","Action, Crime, Thriller",125 ,Film,Not Rated,-,Mild,Severe,Moderate,Mild,Severe
Forever,2008,8.3,"55,231","Crime, Drama, Fantasy",43 ,Series,TV-PG,22,None,Moderate,Mild,Mild,Moderate
The Human Centipede II (Full Sequence),2011,3.8,"37,492",Horror,91 ,Film,Not Rated,-,Severe,Severe,Severe,Mild,Severe
Double Indemnity,1944,8.3,"150,448","Crime, Drama, Film-Noir",107 ,Film,Passed,-,None,Mild,None,Mild,Mild
Before the Devil Knows You're Dead,2007,7.3,"100,668","Crime, Drama, Thriller",117 ,Film,R,-,Severe,Moderate,Severe,Severe,Severe
Queen Bees,2021,6.0,887,"Comedy, Drama, Romance",100 ,Film,PG-13,-,None,None,Mild,Moderate,None
Death Race,2008,6.3,"203,578","Action, Sci-Fi, Thriller",105 ,Film,R,-,Mild,Severe,Severe,Mild,Moderate
The Devil Inside,2012,4.2,"35,564",Horror,83 ,Film,R,-,Mild,Severe,Moderate,Mild,Severe
Key and Peele,2012,8.3,"19,008","Action, Adventure, Comedy",30 ,Series,TV-14,55,Moderate,Mild,Moderate,Mild,None
Nothing But Trouble,1991,5.1,"23,688",Comedy,94 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Moderate
A Streetcar Named Desire,1951,8.0,"104,314",Drama,122 ,Film,M/PG,-,Mild,Moderate,Mild,Mild,Moderate
Tootsie,1982,7.4,"102,145","Comedy, Drama, Romance",116 ,Film,PG,-,Mild,None,Moderate,Mild,None
The Guardian,2006,6.9,"90,082","Action, Adventure, Drama",139 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Moderate
Die in a Gunfight,2021,4.4,"1,579","Action, Comedy, Crime",92 ,Film,R,-,Mild,Moderate,Moderate,Moderate,Mild
Falling,2020,6.5,"4,494",Drama,112 ,Film,R,-,Moderate,Mild,Severe,Mild,Mild
The World's Most Amazing Vacation Rentals,2020,6.7,"1,053",Reality-TV,None,Series,TV-PG,16,No Rate,No Rate,No Rate,No Rate,No Rate
"Midnight, Texas",2020,7.4,"13,219","Drama, Fantasy, Mystery",60 ,Series,TV-14,19,No Rate,No Rate,No Rate,No Rate,No Rate
The 15:17 to Paris,2018,5.3,"31,275","Biography, Drama, Thriller",94 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
Bully,2001,6.9,"37,128","Biography, Crime, Drama",108 ,Film,TV-MA,-,Severe,Severe,Severe,Severe,Severe
In the Name of the Father,1993,8.1,"166,459","Biography, Crime, Drama",133 ,Film,R,-,Mild,Moderate,Severe,Moderate,Severe
My Family,1993,7.5,"9,184",Comedy,50 ,Series,None,121,No Rate,No Rate,No Rate,No Rate,No Rate
Pereval Dyatlova,1993,7.8,"1,952","Action, Horror, Thriller",54 ,Series,None,8,No Rate,No Rate,No Rate,No Rate,No Rate
Gargoyles,1993,8.1,"15,468","Animation, Action, Adventure",30 ,Series,TV-Y7,65,None,Moderate,Mild,None,Moderate
High Fidelity,2020,7.7,"9,737","Comedy, Drama, Romance",30 ,Series,TV-MA,10,Moderate,None,Moderate,Moderate,None
Resident Evil: Infinite Darkness,2020,5.8,"8,450","Animation, Action, Horror",26 ,Series,TV-MA,4,None,Severe,Moderate,Mild,Moderate
Prom Night,2008,3.9,"35,232","Horror, Mystery",88 ,Film,PG-13,-,Mild,Moderate,Mild,Moderate,Moderate
Dinosaurs,2008,7.4,"17,814","Comedy, Family, Fantasy",30 ,Series,TV-PG,65,None,None,Mild,Mild,Mild
47 Meters Down: Uncaged,2019,5.0,"23,484","Adventure, Drama, Horror",90 ,Film,PG-13,-,None,Moderate,Mild,None,Severe
Nine to Five,1980,6.9,"30,695",Comedy,109 ,Film,PG,-,Mild,Mild,Mild,Mild,None
The Karate Kid Part III,1989,5.3,"57,543","Action, Drama, Family",112 ,Film,PG,-,None,Mild,Mild,Mild,Mild
Spies in Disguise,2019,6.8,"42,754","Animation, Action, Adventure",102 ,Film,PG,-,Mild,Mild,Mild,None,Mild
The Ghost Ship,1943,6.7,"3,210","Drama, Mystery, Thriller",69 ,Film,Passed,-,None,Mild,None,None,Mild
Love Story,1970,6.9,"32,921","Drama, Romance",100 ,Film,PG,-,Mild,None,Moderate,None,None
Boiler Room,2000,7.0,"51,481","Crime, Drama, Thriller",120 ,Film,R,-,Mild,None,Severe,Mild,Mild
Star Trek VI: The Undiscovered Country,1991,7.2,"73,255","Action, Adventure, Sci-Fi",110 ,Film,PG,-,None,Moderate,Mild,Mild,Moderate
The Vampire Lovers,1970,6.5,"5,958",Horror,91 ,Film,R,-,Moderate,Moderate,No Rate,Mild,No Rate
Twilight Zone: The Movie,1983,6.5,"36,435","Horror, Sci-Fi",101 ,Film,PG,-,None,Mild,Moderate,Mild,Moderate
Lost Girls,2020,6.1,"19,649","Crime, Drama, Mystery",95 ,Film,R,-,None,Mild,Moderate,Mild,Mild
Payback,1999,7.1,"135,215","Action, Crime, Drama",100 ,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
The Curse of Frankenstein,1957,7.1,"10,424","Horror, Sci-Fi, Thriller",82 ,Film,Approved,-,None,Mild,None,Mild,Moderate
Underworld: Rise of the Lycans,2009,6.6,"155,726","Action, Fantasy, Thriller",92 ,Film,R,-,Moderate,Severe,None,None,Mild
Family Reunion,2009,6.5,"2,297",Comedy,28 ,Series,TV-PG,35,None,None,Mild,None,None
P-Valley,2009,7.1,"2,893","Crime, Drama",60 ,Series,TV-MA,18,Severe,Mild,Moderate,Moderate,Mild
Gake no ue no Ponyo,2008,7.7,"133,751","Animation, Adventure, Comedy",101 ,Film,G,-,None,None,None,None,Mild
Milk,2008,7.5,"169,280","Biography, Drama",128 ,Film,R,-,Moderate,Moderate,Moderate,Moderate,Moderate
Marianne,2019,7.5,"13,352","Drama, Horror, Mystery",50 ,Series,TV-MA,8,Moderate,Severe,Moderate,Moderate,Severe
Coneheads,1993,5.4,"52,943","Comedy, Sci-Fi",88 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
At Eternity's Gate,2018,6.9,"32,091","Biography, Drama",111 ,Film,PG-13,-,None,None,Mild,Mild,Mild
The Boat That Rocked,2009,7.4,"109,343","Comedy, Drama, Music",135 ,Film,R,-,Moderate,None,Moderate,Moderate,Mild
"The Adventures of Priscilla, Queen of the Desert",1994,7.5,"48,545","Comedy, Music",104 ,Film,R,-,Mild,Mild,Moderate,Mild,Mild
Chasing Amy,1997,7.2,"135,363","Comedy, Drama, Romance",113 ,Film,R,-,Mild,Mild,Severe,Moderate,Mild
Wicked,1997,No Rate,No Votes,"Action, Adventure, Family",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Occupation: Rainfall,2020,5.6,"13,223","Action, Sci-Fi",128 ,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate
Defiance,2020,7.0,"41,679","Action, Drama, Sci-Fi",43 ,Series,TV-MA,39,Mild,Moderate,Mild,Mild,No Rate
Once,2007,7.8,"113,668","Drama, Music, Romance",86 ,Film,R,-,None,None,Mild,Mild,None
Sister Act 2: Back in the Habit,1993,5.7,"51,609","Comedy, Family, Music",107 ,Film,PG,-,None,None,Mild,None,None
The Gift,1993,7.2,"20,548","Drama, Fantasy, Mystery",40 ,Series,TV-MA,24,Moderate,Mild,Mild,Mild,Mild
Phantom of the Megaplex,2000,6.4,"3,287","Action, Comedy, Family",89 ,Film,TV-G,-,No Rate,No Rate,No Rate,No Rate,No Rate
Paddington 2,2017,7.8,"68,169","Animation, Adventure, Comedy",103 ,Film,PG,-,None,None,None,None,Mild
The Wild Wild West,2017,8.1,"4,814","Action, Adventure, Sci-Fi",50 ,Series,TV-PG,104,No Rate,Mild,No Rate,No Rate,No Rate
Paradise City,2017,6.8,"1,698","Drama, Fantasy, Music",None,Series,TV-MA,8,Severe,Mild,Moderate,Moderate,None
La migliore offerta,2013,7.8,"113,597","Crime, Drama, Mystery",131 ,Film,R,-,Moderate,Mild,Mild,Mild,Mild
Requiem for a Heavyweight,1962,7.8,"4,159","Drama, Sport",95 ,Film,Not Rated,-,No Rate,No Rate,No Rate,No Rate,No Rate
Godzilla,1998,5.4,"188,531","Action, Sci-Fi, Thriller",139 ,Film,PG-13,-,None,Moderate,Mild,None,Mild
El Chapo,1998,7.8,"16,538","Biography, Crime, Drama",43 ,Series,TV-MA,34,Severe,Moderate,Mild,Severe,Severe
How It Ends,2021,5.1,"1,452",Comedy,82 ,Film,R,-,None,None,Moderate,Mild,None
The Croods,2013,7.2,"202,771","Animation, Adventure, Comedy",98 ,Film,PG,-,None,Mild,None,None,Mild
Beau père,1981,7.0,"2,915","Comedy, Drama, Romance",123 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Plebs,1981,7.9,"7,299",Comedy,25 ,Series,TV-14,39,Moderate,Mild,Moderate,Mild,None
A feleségem története,2021,6.3,352,"Drama, Romance",169 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Seobok,2021,6.1,"2,129","Action, Sci-Fi, Thriller",114 ,Film,TV-MA,-,No Rate,No Rate,No Rate,No Rate,No Rate
Charlie's Angels: Full Throttle,2003,4.9,"125,142","Action, Adventure, Comedy",106 ,Film,PG-13,-,Moderate,Moderate,Mild,Mild,Mild
The Ides of March,2011,7.1,"219,316","Drama, Thriller",101 ,Film,R,-,Mild,None,Severe,Mild,Mild
Masterminds,2016,5.8,"53,353","Biography, Comedy, Crime",95 ,Film,PG-13,-,Mild,Mild,Mild,Mild,None
A Night at the Roxbury,1998,6.2,"59,048","Comedy, Music, Romance",82 ,Film,PG-13,-,Moderate,None,Moderate,Moderate,None
Why Him?,2016,6.2,"106,570",Comedy,111 ,Film,R,-,Moderate,Mild,Severe,Mild,None
Drop Dead Gorgeous,1999,6.6,"35,668","Comedy, Romance, Thriller",97 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
The Night Comes for Us,2018,7.0,"24,006","Action, Thriller",121 ,Film,TV-MA,-,None,Severe,Severe,Mild,Severe
Now & Later,2009,5.1,"1,704",Drama,99 ,Film,Unrated,-,Severe,None,Mild,Moderate,Severe
The Secret of Sinchanee,2021,4.8,157,Horror,115 ,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Bloodbath at the House of Death,1984,5.1,"1,557","Horror, Comedy",92 ,Film,R,-,Mild,Moderate,None,Mild,Mild
Holby City,1984,5.8,"1,933",Drama,60 ,Series,TV-PG,1081,Mild,Severe,None,Moderate,Severe
The Legend of Vox Machina,1984,No Rate,No Votes,"Animation, Action, Adventure",None,Series,None,24,No Rate,No Rate,No Rate,No Rate,No Rate
Made of Honor,2008,5.9,"69,861","Comedy, Romance",101 ,Film,PG-13,-,Mild,None,Mild,Mild,None
Lord of the Flies,1990,6.4,"30,109","Adventure, Drama, Thriller",90 ,Film,R,-,None,Moderate,Moderate,None,Moderate
Land of the Dead,2005,6.2,"94,652","Horror, Sci-Fi, Thriller",93 ,Film,R,-,Mild,Severe,Severe,Mild,Severe
Texas Chainsaw Massacre,2021,No Rate,No Votes,"Crime, Horror, Thriller",None,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate
Resident Evil: Extinction,2007,6.2,"189,208","Action, Horror, Sci-Fi",94 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
